ISO_COUNTRY_CODE,WIN_COUNTRY_CODE
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
PL,PL
LT,LT
LT,LT
LT,LT
PL,PL
PL,PL
DE,DE
PL,PL
PL,PL
PL,PL
PL,PL
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
IT,
PL,PL
IT,IT
PL,PL
PL,PL
PL,PL
UK,UK
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
LV,LV
LV,LV
LV,LV
LV,LV
GR,CN
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
BG,BG
LT,LT
LT,LT
LT,LT
LT,LT
LT,LT
LT,LT
LT,LT
LT,LT
LT,LT
IT,
IT,
IT,
IT,
IT,
IT,
IT,
IT,
IT,
DE,DE
DE,DE
FR,
IT,
PL,PL
IT,
IT,
IT,
IT,
IT,
IT,
IT,
IT,
IT,
IT,
IT,
IT,
IT,
PL,PL
SE,SE
SE,SE
SE,SE
SE,SE
SE,SE
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
PL,PL
UK,
RO,RO
RO,RO
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
DE,DE
PL,PL
PL,PL
ES,ES
PL,PL
PL,PL
IT,IT
NO,NO
CH,CH
CH,DE
CH,CH
CH,NL
CH,MD
CH,CH
CH,MD
CH,CH
CH,MD
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,
FR,FR
CZ,CZ
CZ,CZ
FR,FR
FR,FR
FR,FR
FR,FR
ES,ES
ES,ES
FR,FR
FR,
UK,UK
FR,FR
FR,
FR,
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
RO,RO
CZ,CZ
FR,FR
FR,FR
UK,UK
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
ES,ES
DE,DE
FR,FR
FR,FR
FR,FR
FR,
FR,
FR,
FR,
FR,
FR,
FR,
FR,FR
FR,FR
FR,FR
FR,FR
FR,
FR,FR
FR,FR
FR,FR
FR,FR
FR,
FR,FR
FR,FR
FR,FR
FR,
UK,UK
ES,
ES,
PT,PT
FI,FI
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
UK,UK
PT,PT
DK,DK
DK,DK
DK,DK
DK,
DK,
DK,
DK,DK
DK,DK
DK,DK
FR,FR
FR,FR
PT,PT
DE,DE
DE,DE
PL,PL
LU,LU
LU,LU
LU,LU
NL,NL
NL,NL
NL,NL
FR,FR
FR,FR
LV,LV
FR,
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
PL,PL
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
SE,SE
BG,BG
BG,BG
BG,BG
BG,BG
BG,BG
BG,BG
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
GR,GR
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
CZ,CZ
CZ,CZ
CZ,CZ
CZ,CZ
CZ,DE
CZ,CZ
CZ,CZ
CZ,CZ
CZ,CZ
CZ,CZ
CZ,CZ
CZ,CZ
PL,PL
ES,
FR,FR
IT,IT
IT,IT
IT,IT
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
LT,LT
LT,LT
IE,IE
HU,HU
ES,ES
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
PL,PL
PL,PL
PL,PL
PL,PL
PL,
FR,FR
EE,EE
IT,
SI,SI
SI,SI
SI,SI
SI,SI
SI,SI
SI,SI
SI,SI
SI,SI
SI,SI
SI,SI
SI,SI
SI,SI
SI,SI
SI,SI
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
UK,UK
UK,UK
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
IT,IT
FR,FR
FR,FR
FR,FR
FR,FR
